Indicator Name,Indicator Code,ZAF,GHA,COD,KEN,ZWE,NGA,total
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,28,15,9,21,14,24,111
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,26,25,,25,12,23,111
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,28,15,9,21,14,24,111
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,28,15,9,21,14,24,111
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,28,15,9,21,14,24,111
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,28,15,9,21,14,24,111
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,28,15,9,21,14,24,111
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,28,15,9,21,14,24,111
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,28,15,9,21,14,24,111
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,18,31,26,15,9,11,110
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,18,31,26,15,9,11,110
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,26,26,14,5,12,25,108
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,50,24,18,8,8,,108
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,22,19,6,19,22,20,108
Grants and other revenue (current LCU),GC.REV.GOTR.CN,50,24,18,8,8,,108
Tax revenue (current LCU),GC.TAX.TOTL.CN,50,24,18,8,8,,108
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,11,30,27,16,15,8,107
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,18,18,16,18,18,18,106
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,27,5,20,9,26,18,105
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,,21,21,21,21,21,105
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,22,18,6,19,22,18,105
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,11,30,27,13,15,8,104
Social contributions (current LCU),GC.REV.SOCL.CN,50,20,18,8,8,,104
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,11,30,27,13,15,8,104
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,22,23,8,29,9,12,103
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,50,24,13,8,8,,103
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,50,24,13,8,8,,103
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS,50,24,13,8,8,,103
Interest payments (current LCU),GC.XPN.INTP.CN,50,24,13,8,8,,103
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,50,24,13,8,8,,103
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,24,15,9,20,14,20,102
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,24,15,9,20,14,20,102
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,24,15,9,20,14,20,102
Fixed broadband subscriptions,IT.NET.BBND,20,18,11,17,21,15,102
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,24,15,9,20,14,20,102
Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,17,17,17,17,17,17,102
"Patent applications, residents",IP.PAT.RESD,41,4,3,26,18,10,102
Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,17,17,17,17,17,17,102
Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,17,17,17,17,17,17,102
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,24,15,9,20,14,20,102
Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,17,17,17,17,17,17,102
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,24,15,9,20,14,20,102
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,20,18,10,17,21,15,101
Compensation of employees (current LCU),GC.XPN.COMP.CN,48,24,13,8,8,,101
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,20,20,20,20,,20,100
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,50,20,13,8,8,,99
Expense (current LCU),GC.XPN.TOTL.CN,50,20,13,8,8,,99
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,50,20,13,8,8,,99
Social contributions (% of revenue),GC.REV.SOCL.ZS,50,20,13,8,8,,99
Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,50,20,13,8,8,,99
Goods and services expense (current LCU),GC.XPN.GSRV.CN,48,22,13,8,8,,99
Interest payments (% of expense),GC.XPN.INTP.ZS,50,20,13,8,8,,99
Compensation of employees (% of expense),GC.XPN.COMP.ZS,48,20,13,8,8,,97
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1,16,16,16,16,16,16,96
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,16,16,16,16,16,16,96
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,16,17,16,17,12,17,95
Goods and services expense (% of expense),GC.XPN.GSRV.ZS,48,18,13,8,8,,95
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,26,26,,5,12,25,94
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,18,14,10,18,16,17,93
Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,18,25,2,29,16,2,92
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,17,17,17,17,17,7,92
Time required to enforce a contract (days),IC.LGL.DURS,17,17,17,17,17,7,92
Start-up procedures to register a business (number),IC.REG.PROC,17,17,17,17,17,7,92
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,17,17,17,17,17,7,92
"Time required to start a business, male (days)",IC.REG.DURS.MA,17,17,17,17,17,7,92
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,17,17,17,17,17,7,92
"Time required to start a business, female (days)",IC.REG.DURS.FE,17,17,17,17,17,7,92
Time required to start a business (days),IC.REG.DURS,17,17,17,17,17,7,92
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,17,17,17,17,17,7,92
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,17,17,17,17,17,7,92
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,17,25,2,29,16,2,91
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3,15,15,15,15,15,15,90
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,15,15,15,15,15,15,90
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,15,15,14,15,15,15,89
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,50,24,,7,8,,89
Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,50,24,,7,8,,89
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,50,24,,7,8,,89
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,50,24,,7,8,,89
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,50,24,,7,8,,89
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,50,24,,7,8,,89
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,50,24,,7,8,,89
Taxes on international trade (current LCU),GC.TAX.INTT.CN,50,24,,7,8,,89
Customs and other import duties (current LCU),GC.TAX.IMPT.CN,50,24,,7,8,,89
Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,50,24,,7,8,,89
Taxes on exports (current LCU),GC.TAX.EXPT.CN,50,24,,7,8,,89
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN,50,24,,7,8,,89
Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,50,24,,7,8,,89
Other taxes (current LCU),GC.TAX.OTHR.CN,50,24,,7,8,,89
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,15,26,11,12,11,13,88
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,15,26,11,12,11,13,88
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,15,26,11,12,11,13,88
Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,16,16,16,16,16,7,87
"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,17,27,13,25,4,1,87
Time required to register property (days),IC.PRP.DURS,16,16,16,16,16,7,87
Procedures to register property (number),IC.PRP.PROC,16,16,16,16,16,7,87
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,16,16,16,16,16,7,87
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,9,17,13,17,14,17,87
Children out of school (% of primary school age),SE.PRM.UNER.ZS,17,16,13,12,19,9,86
"Children out of school, primary",SE.PRM.UNER,17,16,13,12,19,9,86
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,,17,17,17,17,17,85
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,,17,17,17,17,17,85
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,17,17,17,17,17,85
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,,17,17,17,17,17,85
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,,17,17,17,17,17,85
CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,,17,17,17,17,17,85
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,,17,17,17,17,17,85
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,,17,17,17,17,17,85
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,,17,17,17,17,17,85
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,,17,17,17,17,17,85
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,,17,17,17,17,17,85
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,,17,17,17,17,17,85
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,17,17,17,17,17,85
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,,17,17,17,17,17,85
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,17,17,17,17,17,85
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,,17,17,17,17,17,85
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,,17,17,17,17,17,85
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,,17,17,17,17,17,85
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,,17,17,17,17,17,85
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,,17,17,17,17,17,85
"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS,,21,21,,21,21,84
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,,17,17,17,16,17,84
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,,21,21,,21,21,84
"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,7,18,13,12,25,9,84
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,14,14,14,14,14,14,84
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,21,21,,21,21,84
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,10,30,25,16,3,,84
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,21,21,,21,21,84
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,7,17,13,12,25,9,83
Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,18,14,17,18,,16,83
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,56,,,,27,,83
Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,18,14,17,18,,16,83
Procedures to build a warehouse (number),IC.WRH.PROC,15,15,15,15,15,7,82
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,15,15,15,15,15,7,82
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,15,15,15,15,15,7,82
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,15,15,15,15,15,7,82
Time to prepare and pay taxes (hours),IC.TAX.DURS,15,15,15,15,15,7,82
"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,6,17,13,12,25,9,82
Tax payments (number),IC.TAX.PAYM,15,15,15,15,15,7,82
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,15,15,15,15,15,7,82
Time required to build a warehouse (days),IC.WRH.DURS,15,15,15,15,15,7,82
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,28,21,,17,13,2,81
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,10,30,25,13,3,,81
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,10,30,25,13,3,,81
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,15,12,15,15,10,14,81
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,16,16,16,16,16,,80
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,50,18,,8,4,,80
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,16,16,16,16,,16,80
"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,50,18,,8,4,,80
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,34,14,3,8,10,11,80
Rail lines (total route-km),IS.RRS.TOTL.KM,7,10,27,10,4,21,79
"School enrollment, primary (% net)",SE.PRM.NENR,14,19,13,12,11,9,78
"Children out of school, primary, female",SE.PRM.UNER.FE,16,15,13,12,13,9,78
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,16,15,13,12,13,9,78
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,45,13,13,3,4,,78
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,22,15,10,15,,16,78
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,45,13,13,3,4,,78
"Children out of school, primary, male",SE.PRM.UNER.MA,16,15,13,12,13,9,78
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,29,20,13,8,8,,78
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,16,15,13,12,13,9,78
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,33,14,3,8,10,8,76
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,12,13,13,13,12,13,76
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,12,13,13,13,12,13,76
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,33,14,3,8,10,8,76
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,,16,11,17,18,14,76
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,33,14,3,8,10,8,76
Time to resolve insolvency (years),IC.ISV.DURS,17,17,,17,17,7,75
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN,37,20,1,8,8,,74
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,37,20,1,8,8,,74
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,9,18,18,12,10,7,74
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,14,15,13,12,11,9,74
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,31,13,3,7,11,8,73
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,31,13,3,7,11,8,73
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,20,8,27,10,3,5,73
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,31,13,3,7,11,8,73
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,12,12,12,12,12,12,72
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,12,12,12,12,12,12,72
"International migrant stock, total",SM.POP.TOTL,12,12,12,12,12,12,72
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,12,12,12,12,12,12,72
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,12,12,12,12,12,12,72
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,13,18,13,12,6,9,71
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,13,18,13,12,6,9,71
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,9,18,16,10,10,7,70
"Industrial design applications, nonresident, by count",IP.IDS.NRCT,36,4,,22,,8,70
"Industrial design applications, resident, by count",IP.IDS.RSCT,36,4,,22,,8,70
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,29,12,3,5,9,9,67
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,14,10,6,11,13,13,67
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,13,14,13,12,6,9,67
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,14,15,5,17,,16,67
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,13,14,13,12,6,9,67
Other expense (% of expense),GC.XPN.OTHR.ZS,31,20,,8,8,,67
High-technology exports (current US$),TX.VAL.TECH.CD,14,10,6,11,13,13,67
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,14,15,5,17,,16,67
Other expense (current LCU),GC.XPN.OTHR.CN,31,20,,8,8,,67
Secure Internet servers,IT.NET.SECR,11,11,11,11,11,11,66
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,11,11,11,11,11,11,66
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,52,2,2,3,2,5,66
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,11,11,11,11,11,11,66
"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,12,11,11,15,6,11,66
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,12,8,27,9,4,6,66
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,9,16,14,9,10,7,65
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,9,16,14,9,10,7,65
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,,17,15,,18,15,65
Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,11,11,10,11,11,11,65
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,29,12,3,5,9,6,64
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,29,12,3,5,9,6,64
Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,6,15,6,14,10,13,64
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,4,16,7,14,10,12,63
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,4,16,7,14,10,12,63
"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,9,24,10,5,11,4,63
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,25,10,3,6,10,8,62
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,25,10,3,6,10,8,62
Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,32,18,,8,4,,62
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,20,19,4,3,4,12,62
Time required to get electricity (days),IC.ELC.TIME,11,11,11,11,11,7,62
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,25,10,3,6,10,8,62
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,32,18,,8,4,,62
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,8,23,10,5,11,4,61
"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,8,23,10,5,11,4,61
"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD,10,10,10,10,10,10,60
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,10,10,10,10,10,10,60
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,4,22,10,7,11,6,60
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,9,15,13,5,10,7,59
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,8,11,6,12,12,10,59
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,9,15,13,5,10,7,59
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,9,10,7,10,12,10,58
"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,7,14,20,2,7,8,58
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,8,10,18,7,3,12,58
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,9,10,7,10,12,10,58
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,9,10,7,10,12,10,58
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,8,10,18,7,3,12,58
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,12,18,3,9,15,,57
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,6,15,5,10,10,11,57
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,4,22,9,5,10,6,56
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,3,14,9,9,10,11,56
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,4,22,9,5,10,6,56
New businesses registered (number),IC.BUS.NREG,13,7,6,4,10,15,55
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,13,7,6,4,10,15,55
Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,4,20,8,12,10,,54
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,23,7,3,5,7,8,53
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,6,10,6,12,9,9,52
Battle-related deaths (number of people),VC.BTL.DETH,,,25,14,,13,52
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,6,10,6,11,10,9,52
"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,6,10,6,12,9,9,52
Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,,7,18,17,9,,51
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,14,10,2,13,2,10,51
Progression to secondary school (%),SE.SEC.PROG.ZS,8,18,7,12,3,2,50
"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,4,20,7,9,10,,50
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,4,14,4,12,7,9,50
"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,4,20,7,9,10,,50
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,7,13,5,8,9,8,50
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,23,7,3,5,7,4,49
"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,6,10,5,10,9,9,49
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,23,7,3,5,7,4,49
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6,8,7,10,9,8,48
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,4,10,5,11,9,8,47
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,12,18,3,5,9,,47
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,12,18,3,5,9,,47
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,4,10,5,11,9,8,47
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,4,10,5,11,9,8,47
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,3,10,6,7,11,10,47
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,23,7,3,5,5,3,46
"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,4,10,5,10,9,8,46
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,23,7,3,5,5,3,46
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,10,17,3,9,7,,46
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,23,7,3,5,5,3,46
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,11,9,7,5,6,8,46
"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,4,10,5,10,9,8,46
"School enrollment, secondary (% net)",SE.SEC.NENR,10,17,3,9,7,,46
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,12,10,2,13,1,8,46
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,10,17,3,9,7,,46
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,,,18,17,10,,45
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,7,17,7,8,3,2,44
Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,1,20,6,4,9,4,44
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,7,17,7,8,3,2,44
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,2,2,14,10,2,14,44
"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS,22,7,3,5,4,2,43
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,22,7,3,5,4,2,43
